filename,width,height,class,xmin,ymin,xmax,ymax
frame_3390_jpg.rf.0c8f2506e30861bdd7039fadd5159330.jpg,640,640,Car,392,145,462,183
frame_3390_jpg.rf.0c8f2506e30861bdd7039fadd5159330.jpg,640,640,Truck,446,132,478,153
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,26,444,95,531
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,525,588,633,640
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,502,454,572,526
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,435,431,481,498
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,493,383,538,430
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,508,357,548,387
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,392,315,418,353
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,371,277,388,300
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,346,265,359,287
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,372,260,386,277
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,392,261,406,280
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,409,259,423,277
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,387,245,398,260
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,369,225,376,237
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,354,226,362,238
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,338,237,349,253
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,355,216,363,225
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Pickup,371,214,378,225
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,356,203,362,211
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,377,197,381,204
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,346,215,353,226
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Motorcycle,390,232,395,245
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Motorcycle,384,219,388,232
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Motorcycle,381,216,384,229
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Motorcycle,363,201,366,209
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Motorcycle,206,272,214,301
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Motorcycle,158,253,165,281
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Pickup,217,266,240,320
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,236,240,249,256
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,231,220,241,235
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Pickup,242,225,254,240
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Pickup,253,234,266,259
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,265,217,274,229
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Motorcycle,256,208,260,221
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,264,209,272,217
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,272,203,279,213
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,280,204,288,214
frame_8179_jpg.rf.0c6d95b0c1e711f3b7a4bf5764617e74.jpg,640,640,Car,295,200,302,210
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Motorcycle,310,493,332,571
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,209,415,245,475
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,151,402,191,462
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,32,302,66,344
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,19,284,54,317
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,74,251,98,276
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,102,251,124,281
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Motorcycle,12,254,22,280
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Motorcycle,86,239,94,255
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,120,233,136,251
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,150,250,168,269
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,162,240,178,258
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Pickup,151,228,166,252
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,297,294,314,320
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,251,310,271,339
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,216,302,236,330
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,262,287,279,310
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,240,275,256,297
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,248,258,265,278
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,269,256,284,278
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,280,238,291,253
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,325,256,337,277
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Bus,291,233,311,280
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,289,232,296,242
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,299,222,307,233
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,314,220,322,230
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,326,210,333,219
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Pickup,335,212,341,226
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,319,209,326,219
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Motorcycle,348,213,352,224
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Motorcycle,345,213,348,224
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,346,207,351,214
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Car,352,205,357,213
frame_1459_jpg.rf.0f7863db2bcfb4de3165c09b82be0437.jpg,640,640,Motorcycle,361,205,364,213
frame_9538_jpg.rf.03110592999f1dbf6819eea2a816e9eb.jpg,640,640,Car,368,110,475,161
frame_9065_jpg.rf.0fe652baeea0972ed275d7f0da5e1a3f.jpg,640,640,Car,111,173,259,244
